Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
13-Aug-15,1147,1166,1130,1156.85,1155.98358,295308,11818,341371199,93262,31.58,36,9.85
12-Aug-15,1110,1147,1110,1141.75,1135.052989,254659,9800,289051459,105066,41.26,37,31.75
11-Aug-15,1098.9,1115,1073.5,1104.35,1104.32759,228334,10198,252155536,103435,45.3,41.5,5.45
10-Aug-15,1097,1106,1068.1,1081.95,1092.047023,102736,4320,112192543,32017,31.16,37.9,-15.05
07-Aug-15,1089.45,1100.9,1080,1095.6,1095.602152,102142,4011,111906995,38965,38.15,20.9,6.15
06-Aug-15,1090.2,1105.95,1079,1089.45,1090.620319,185927,6851,202775764,39789,21.4,26.95,-0.75
05-Aug-15,1065,1090,1065,1086.55,1080.563364,107932,4177,116627365,40846,37.84,25,21.55
04-Aug-15,1078,1080,1053,1059.8,1061.55283,176101,9777,186940515,49716,28.23,27,-18.2
03-Aug-15,1080,1091.5,1069,1079.05,1080.783336,126860,4868,137108174,36279,28.6,22.5,-0.95
31-Jul-15,1079,1081.2,1061.6,1078.05,1071.647481,143459,6395,153737476,36876,25.7,19.6,-0.95
30-Jul-15,1090,1090,1059.75,1069.1,1078.111551,111411,4802,120113486,33854,30.39,30.25,-20.9
29-Jul-15,1068,1092.25,1065,1085.2,1082.331257,130349,5239,141080797,47716,36.61,27.25,17.2
28-Jul-15,1077,1077,1055.5,1063.5,1066.277953,126104,4867,134461915,30156,23.91,21.5,-13.5
27-Jul-15,1089,1089,1060.5,1065,1069.645123,221136,6408,236537044,148497,67.15,28.5,-24
24-Jul-15,1100,1106.2,1082.4,1089.35,1090.775236,123690,6291,134917989,48019,38.82,23.8,-10.65
23-Jul-15,1103,1117.7,1091,1098.85,1105.491006,184063,8066,203479991,49956,27.14,26.7,-4.15
22-Jul-15,1105,1111.45,1075.75,1102.6,1100.156507,304363,11970,334846935,85500,28.09,35.7,-2.4
21-Jul-15,1022.2,1127.75,1022.2,1112.65,1099.859542,1417565,52759,1559122391,354984,25.04,105.55,90.45
20-Jul-15,1003.25,1010,987.25,1001.9,998.9848567,173740,6504,173563629,68504,39.43,22.75,-1.35
17-Jul-15,989.9,1003.95,989,1002,998.5962875,198520,5046,198241335,118016,59.45,14.95,12.1
16-Jul-15,985.5,991.2,979.1,987.8,986.7561079,98765,3741,97456967,34106,34.53,12.1,2.3
15-Jul-15,971.9,985.2,969,982.65,980.4084391,135014,5381,132368865,43844,32.47,16.2,10.75
14-Jul-15,955,973.6,945.35,970.1,960.44953,268169,7912,257562790,111359,41.53,28.25,15.1
13-Jul-15,940,954.45,934.1,950.05,944.6203841,199391,6540,188348803,91416,45.85,20.35,10.05
10-Jul-15,950,951.85,932.55,937,941.2388345,154023,7338,144972429,82247,53.4,19.3,-13
09-Jul-15,960,966.95,934,937.7,942.9078428,325585,15038,306996650,158706,48.74,32.95,-22.3
08-Jul-15,985,985,955,957.2,962.8057175,335285,12533,322814315,148620,44.33,30,-27.8
07-Jul-15,990,990.75,980.05,982.05,985.9005027,86525,3317,85305041,29621,34.23,10.7,-7.95
06-Jul-15,980,988.25,975.5,983.5,981.1505673,137500,5563,134908203,48909,35.57,12.75,3.5
03-Jul-15,987,993,983.55,989.95,989.6578993,97141,4150,96136358,34689,35.71,9.45,2.95
02-Jul-15,1000,1000.4,985.15,988.15,989.6329252,123814,5240,122530411,46686,37.71,15.25,-11.85
01-Jul-15,990,1000,986.15,997.7,994.9010925,92268,3922,91797534,31249,33.87,13.85,7.7
30-Jun-15,993,993,983.1,985.35,987.2345419,130902,4604,129230976,50087,38.26,9.9,-7.65
29-Jun-15,988,999,980,990.25,989.1599279,214778,6250,212449791,83957,39.09,19,2.25
26-Jun-15,995,1011.75,995,1006.1,1006.425015,177156,4876,178294230,57524,32.47,16.75,11.1
25-Jun-15,1000,1003,987.85,991.15,995.4988025,187888,7375,187042279,75762,40.32,15.15,-8.85
24-Jun-15,1010,1013.4,991.6,995.1,1001.671022,151837,6050,152090723,60856,40.08,21.8,-14.9
23-Jun-15,1025,1028,999.1,1001.15,1005.116606,219714,7317,220838190,78762,35.85,28.9,-23.85
22-Jun-15,1009,1028.8,997.5,1024.4,1010.997859,189597,6460,191682161,65351,34.47,31.3,15.4
19-Jun-15,1005,1010.3,992.5,996.75,1001.406049,105608,4277,105756490,43656,41.34,17.8,-8.25
18-Jun-15,1000.25,1005.95,996,1000.9,1001.365804,98293,3690,98427249,31006,31.54,9.95,0.65
17-Jun-15,1007,1020.4,993.3,995.8,1002.826543,200684,7792,201251242,68163,33.97,27.1,-11.2
16-Jun-15,994,1002,985,999.45,994.9413913,124572,4971,123941839,50185,40.29,17,5.45
15-Jun-15,980,998.85,968.5,991.1,989.044834,352567,8291,348704570,159739,45.31,30.35,11.1
12-Jun-15,2002,2024.5,1955.5,1976.65,2003.383869,364406,11369,730045102,247907,68.03,69,-25.35
11-Jun-15,2035,2045,1997.05,2001.85,2012.887545,219093,7132,441009571,141026,64.37,47.95,-33.15
10-Jun-15,2010,2039.7,1986,2026.2,2008.856315,106086,5552,213111531,36971,34.85,53.7,16.2
09-Jun-15,2013,2013,1985.1,1992.55,1991.3394,162858,4726,324305552,120016,73.69,27.9,-20.45
08-Jun-15,2012,2020.25,1990,2000.25,2001.39659,56073,5177,112224311,23496,41.9,30.25,-11.75
05-Jun-15,2039,2044,2009.15,2012.1,2020.427273,119921,6928,242291659,59962,50,34.85,-26.9
