Announcement Date,Bonus Ratio,Old Holding,New Holding,Record Date,Ex-Bonus Date
20-04-2009,01:01,1,2,17-06-2009,16-06-2009
17-04-2006,01:01,1,2,31-07-2006,28-07-2006
